ACCE_ABSORB_COST	Aufnahmepreis: %d
GUILDWINDOW_CHANGE_OBJECT	Umbau
GUILDWINDOW_CHANGE_SMELTER	Ofen-Umbau
GUILDWINDOW_CREATE_OBJECT	Gebäudebau
GUILDWINDOW_DEAL_GUILD_LAND	Landverkauf
GUILDWINDOW_GRADE_BANK	Darf die Gildenbank und das Gildenlager nutzen
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Darf Mitglieder aus der Gilde entfernen
GUILDWINDOW_GRADE_GRADENAME	Rangname
GUILDWINDOW_GRADE_GRADENUMBER	Rangnummer
GUILDWINDOW_GRADE_GUILDWAR	Darf Mitglieder auswählen, die als Kämpfer teilnehmen können
GUILDWINDOW_GRADE_INVITEAUTHORITY	Darf Spieler in die Gilde aufnehmen
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Darf Gildennotizen anpinnen
GUILDWINDOW_GRADE_SKILLAUTHORITY	Darf Gildenfertigkeiten nutzen
GUILDWINDOW_INFO_LEVEL10	Erhöht max. Mitgliederzahl
GUILDWINDOW_INFO_LEVEL15	Preisnachlass: Drachenmacht
GUILDWINDOW_INFO_LEVEL20	Bank: Steuerbefreiung
GUILDWINDOW_INFO_LEVEL5	+5% EXP auf Gildenspende
GUILDWINDOW_LIST_ALL	Alle Reiche
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gilde] Du hast dich bereits beworben.
GUILDWINDOW_LIST_APPLICANT_LIST	Bewerberliste
GUILDWINDOW_LIST_CHRACTER_JOB	Klasse
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Charaktername
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Lehre
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Mitglieder
GUILDWINDOW_LIST_GUILD_LIST	Gildenliste
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Gilde
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gilde] Bitte gib einen Gildennamen ein.
GUILDWINDOW_LIST_LADDER	Rangpunkte
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gilde] Diese Gilde hat keine Ausschreibung.
GUILDWINDOW_LIST_PROMOTE_GUILD	Bewerbung
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Gildenliste
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Bewerbungen
GUILDWINDOW_LIST_REGISTER_GUILD	Bei Gilde bewerben
GUILDWINDOW_LIST_SEARCH	Suchen
GUILDWINDOW_LIST_SELECT_GUILD	[Gilde] Bitte wähle eine Gilde, um dich zu bewerben.
GUILDWINDOW_PROMOTE_REFRESH	Werbung
GUILDWINDOW_PROMOTE_REGISTER	Werbung
GUILDWINDOW_SP_RECOVER	Drachenmacht
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Altar-Ausbau
GUILDWINDOW_UPGRADE_GUILDBANK	Bank-Ausbau
GUILD_BANKINFO_CLOSE	Schließen
GUILD_BANKINFO_NAME	Mitglied
GUILD_BANKINFO_TYPE	Gegenstand/Währung
GUILD_BANKINFO_USETYPE	Aktion
GUILD_BANK_CLOSE	Schließen
GUILD_BANK_INFO	Gildenlager-Log
GUILD_BOARD_ID	Mitglied
GUILD_BOARD_TEXT	Nachricht
GUILD_BUILDING_FIX_CHANGE	Möchtest du die Position wirklich verändern?
GUILD_BUILDING_FIX_CHANGE_GOLD	Kosten: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Möchtest du das Objekt wirklich löschen?
GUILD_BUILDING_FIX_NEED_BUILDING	Kein Gebäude vorhanden.
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_NAME	Gebäudename
GUILD_CANNOT_HEAL_GSP_ANYMORE	Die Drachengeist-Energie ist bereits vollständig aufgeladen.
GUILD_COMMENT	Schreiben
GUILD_CREATE_ERROR_INSULT_NAME	Gildenname ist nicht zulässig.
GUILD_DEFAULT_GRADE	Gildenmitglieder
GUILD_DELETE	Löschen
GUILD_DEPOSIT	Hinterlegen
GUILD_DO_YOU_HEAL_GSP	Möchtest du für %d Yang %d Drachengeist wiederherstellen?
GUILD_DO_YOU_JOIN	 hat dich eingeladen. Der Gilde beitreten?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_SECOND	Sek.
GUILD_EMPTY_AREA	Leeres Land
GUILD_ENEMY_GUILD_NAME	Gildenname des Gegners
GUILD_FACILITY	Nebengebäude
GUILD_GEM	Edelstein
GUILD_HEADQUARTER	Hauptgebäude
GUILD_HEAL_GSP	Drachengeist aufladen
GUILD_INFO_ENEMY_GUILD_EMPTY	Keine
GUILD_MARK_NOT_ENOUGH_LEVEL	Mindestens Level 3 erforderlich
GUILD_MARK_UPLOAD_NOTICE	Bitte warte kurz, damit du Gildenlogos registrieren kannst.
GUILD_MEMBER_JOB	Klasse
GUILD_MEMBER_KNIGHT	Kämpfer
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Mitglied
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Gespendete EXP
GUILD_NAME	Gildenname
GUILD_NOT_ENOUGH_MATERIAL	Nicht genug Baumaterial für dieses Gebäude.
GUILD_NOT_ENOUGH_MONEY	Nicht genug Yang für dieses Gebäude.
GUILD_NO_NOTICE_PERMISSION	Du bist nicht berechtigt, eine Ankündigung zu machen.
GUILD_OBJECT	Objekte
GUILD_OFFER_EXP	Erfahrung investieren
GUILD_SHORT_EXP	Nicht genug Erfahrungspunkte.
GUILD_TILE_BASEINFO	Landinformationen
GUILD_TILE_BOARD	Gildennotizen
GUILD_TILE_GRADE	Rechteverwaltung
GUILD_TILE_INFO	Gildeninformationen
GUILD_TILE_MEMBER	Mitglieder
GUILD_TILE_SKILL	Gildenfertigkeiten
GUILD_USE_MASTER_ONLY	Nur der Gildenleiter hat dieses Recht.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Gildenkrieg-Gelände
GUILD_WAR2	Gildenkrieg-Gelände
GUILD_WAR3	Gildenkrieg-Gelände
GUILD_WAR4	Gildenkrieg-Gelände
GUILD_WAR_GAINSCORE_FIFTY	50 Punkte
GUILD_WAR_GAINSCORE_HUNDRED	100 Punkte
GUILD_WAR_GAINSCORE_THIRTY	30 Punkte
GUILD_WAR_GAMETIME_SIXTY	60 Minuten
GUILD_WAR_GAMETIME_TEN	10 Minuten
GUILD_WAR_GAMETIME_THIRTY	30 Minuten
GUILD_WAR_LIMIT_30MIN	Zeit: 30 Minuten
GUILD_WAR_REWARD_POTION	Belohnung: Sieger erhält Tränke
GUILD_WAR_SELECT_WAR	Kampfart auswählen
GUILD_WAR_TYPE_DEFENSE	Schildkampf
GUILD_WAR_TYPE_DIE	Arenakampf
GUILD_WAR_TYPE_FLAG	Flaggenkampf
GUILD_WAR_TYPE_NORMAL	Feldschlacht
GUILD_WAR_TYPE_TIGER	Vernichtungskampf
GUILD_WAR_TYPE_TIME	Zeitangriff
GUILD_WAR_USE_BATTLE_MAP	Ort: Gildenkriegsarena
GUILD_WAR_USE_NORMAL_MAP	Ort: Normale Karte
GUILD_WAR_WIN_CHECK_SCORE	Die Gilde mit den meisten Siegen gewinnt den Krieg.
GUILD_WAR_WIN_FIVE	Fünf Runden
GUILD_WAR_WIN_ONE	Eine Runde
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Erobere die Flagge des Gegners
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	und bringe sie zu deiner Basis.
GUILD_WAR_WIN_THREE	Drei Runden
GUILD_WAR_WIN_WIPE_OUT_GUILD	Besiege alle Gegner, um zu gewinnen.
GUILD_WITHDRAW	Rückzug
GUILD_YOU_DO_NOT_JOIN	Du gehörst keiner Gilde an.
HORSE_HEALTH0	Tot
HORSE_HEALTH1	Verhungernd
HORSE_HEALTH2	Hungrig
HORSE_HEALTH3	Voll
HORSE_LEVEL1	Normales Pferd
HORSE_LEVEL2	Kampfpferd
HORSE_LEVEL3	Militärpferd
HOUR	Std
HOW_MANY_ITEM_DO_YOU_DROP1	Möchtest du %s fallen lassen?
HOW_MANY_ITEM_DO_YOU_DROP2	Möchtest du %s %d fallen lassen?
INPUT_MATRIX_CARD_NUMBER	Matrix-Kartennr. eingeben
INPUT_MATRIX_CARD_TITLE	Matrix-Karte
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Lösch-Code aus der Accountverwaltung eingeben.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Charakter löschen
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Schriftrolle kann nicht zusammengeführt werden.
INVENTORY_REALLY_USE_ITEM	Item auf diesen Gegenstand anwenden?
INVENTORY_REALLY_USE_ITEM2	Möchtest du diesen Gegenstand wirklich benutzen?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Möchtest du dein Pet wirklich in die Transportbox packen?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Möchtest du eine Transportbox öffnen?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Möchtest du %s an %s verfüttern?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Keine
JOB_ASSASSIN1	Nahninja
JOB_ASSASSIN2	Fernninja
JOB_SHAMAN	Schamane
JOB_SHAMAN0	Keine
JOB_SHAMAN1	Drachenschamane
JOB_SHAMAN2	Heilschamane
JOB_SURA	Sura
JOB_SURA0	Keine
JOB_SURA1	Waffensura
JOB_SURA2	Magiesura
JOB_WARRIOR	Krieger
JOB_WARRIOR0	Keine
JOB_WARRIOR1	Körperkrieger
JOB_WARRIOR2	Mentalkrieger
JOB_WOLFMAN	Lykaner
JOB_WOLFMAN0	Amateurlykaner
JOB_WOLFMAN1	Instinkt
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Schließen ohne speichern?
KEYCHANGE_IMPOSSIBLE_CHANGE	[STRG], [ALT], [UMSCHALT] sind hier nicht erlaubt!
KEYCHANGE_SAVE_EXIT	Speichern und schließen?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	STRG + 0
KEY_0_LSHIFT	UMSCHALT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	STRG + 1
KEY_1_LSHIFT	UMSCHALT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	STRG + 2
KEY_2_LSHIFT	UMSCHALT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	STRG + 3
KEY_3_LSHIFT	UMSCHALT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	STRG + 4
KEY_4_LSHIFT	UMSCHALT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	STRG + 5
KEY_5_LSHIFT	UMSCHALT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	STRG + 6
KEY_6_LSHIFT	UMSCHALT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	STRG + 7
KEY_7_LSHIFT	UMSCHALT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	STRG + 8
KEY_8_LSHIFT	UMSCHALT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	STRG + 9
KEY_9_LSHIFT	UMSCHALT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	STRG + A
KEY_A_LSHIFT	UMSCHALT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	STRG + B
KEY_B_LSHIFT	UMSCHALT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	STRG + ,
KEY_COMMA_LSHIFT	UMSCHALT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	STRG + C
KEY_C_LSHIFT	UMSCHALT + C
KEY_D	D
KEY_DOWN	NACH-UNTEN
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	STRG + D
KEY_D_LSHIFT	UMSCHALT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	STRG + E
KEY_E_LSHIFT	UMSCHALT + E
KEY_F	F
KEY_F1	F1
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	STRG + F10
KEY_F10_LSHIFT	UMSCHALT + F10
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	STRG + F1
KEY_F1_LSHIFT	UMSCHALT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	STRG + F2
KEY_F2_LSHIFT	UMSCHALT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	STRG + F3
KEY_F3_LSHIFT	UMSCHALT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	STRG + F4
KEY_F4_LSHIFT	UMSCHALT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	STRG + F5
KEY_F5_LSHIFT	UMSCHALT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	STRG + F6
KEY_F6_LSHIFT	UMSCHALT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	STRG + F7
KEY_F7_LSHIFT	UMSCHALT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	STRG + F8
KEY_F8_LSHIFT	UMSCHALT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	STRG + F9
KEY_F9_LSHIFT	UMSCHALT + F9
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	STRG + F
KEY_F_LSHIFT	UMSCHALT + F
KEY_G	G
KEY_GRAVE	^
KEY_GRAVE_LALT	ALT + ^
KEY_GRAVE_LCONTROL	STRG + ^
KEY_GRAVE_LSHIFT	UMSCHALT + ^
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	STRG + G
KEY_G_LSHIFT	UMSCHALT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	STRG + H
KEY_H_LSHIFT	UMSCHALT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	STRG + I
KEY_I_LSHIFT	UMSCHALT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	STRG + J
KEY_J_LSHIFT	UMSCHALT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	STRG + K
KEY_K_LSHIFT	UMSCHALT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	STRG
KEY_LEFT	NACH-LINKS
KEY_LSHIFT	UMSCHALT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	STRG + L
KEY_L_LSHIFT	UMSCHALT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	STRG + M
KEY_M_LSHIFT	UMSCHALT + M
KEY_N	N
KEY_NUMLOCK	NUM
KEY_NUMPAD0	NUM 0
KEY_NUMPAD1	NUM 1
KEY_NUMPAD2	NUM 2
KEY_NUMPAD3	NUM 3
KEY_NUMPAD4	NUM 4
KEY_NUMPAD5	NUM 5
KEY_NUMPAD6	NUM 6
KEY_NUMPAD7	NUM 7
KEY_NUMPAD8	NUM 8
KEY_NUMPAD9	NUM 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	STRG + N
KEY_N_LSHIFT	UMSCHALT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	STRG + O
KEY_O_LSHIFT	UMSCHALT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	STRG + .
KEY_PERIOD_LSHIFT	UMSCHALT + .
KEY_PGDN	BILD-AB
KEY_PGUP	BILD-AUF
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	STRG + P
KEY_P_LSHIFT	UMSCHALT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	STRG + Q
KEY_Q_LSHIFT	UMSCHALT + Q
KEY_R	R
KEY_RIGHT	NACH-RECHTS
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	STRG + R
KEY_R_LSHIFT	UMSCHALT + R
KEY_S	S
KEY_SPACE	LEER
KEY_SUBTRACT	-
KEY_SYSRQ	DRUCK
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	STRG + S
KEY_S_LSHIFT	UMSCHALT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	STRG + T
KEY_T_LSHIFT	UMSCHALT + T
KEY_U	U
KEY_UP	NACH-OBEN
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	STRG + U
KEY_U_LSHIFT	UMSCHALT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	STRG + V
KEY_V_LSHIFT	UMSCHALT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	STRG + W
KEY_W_LSHIFT	UMSCHALT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	STRG + X
KEY_X_LSHIFT	UMSCHALT + X
KEY_Y	Z
KEY_Y_LALT	ALT + Z
KEY_Y_LCONTROL	STRG + Z
KEY_Y_LSHIFT	UMSCHALT + Z
KEY_Z	Y
KEY_Z_LALT	ALT + Y
KEY_Z_LCONTROL	STRG + Y
KEY_Z_LSHIFT	UMSCHALT + Y
LEFT_TIME	Verbl. Zeit
LOGIN_CONNECT_FAILURE	Fehler beim Verbinden mit dem Server.
LOGIN_CONNECT_SUCCESS	Verbindung zum Server hergestellt.
LOGIN_CONNETING	Bitte warte. Du wirst mit dem Server verbunden.
LOGIN_FAILURE_ALREAY	Dein Account ist bereits verbunden.
LOGIN_FAILURE_BE_SAME_KEY	Anmeldeproblem
LOGIN_FAILURE_BLOCK_ID	Dieser Account ist gesperrt.
LOGIN_FAILURE_BLOCK_LOGIN	Bitte wähle einen anderen Server!
LOGIN_FAILURE_NOBILL	Der Account verfügt über keine Spielzeit.
LOGIN_FAILURE_NOT_AVAIL	Der Account ist nicht verfügbar.
LOGIN_FAILURE_NOT_EXIST_ID	Accountname oder Passwort falsch.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Eine Verifizierung per E-Mail ist erforderlich.
LOGIN_FAILURE_REPAIR_ID	Für diesen Account werden gerade Gegenstände wiederhergestellt.
LOGIN_FAILURE_SAMELOGIN	Jemand hat sich mit deinem Account verbunden.
LOGIN_FAILURE_SHUTDOWN	Der Server ist noch nicht offen.
LOGIN_FAILURE_STEAM_SESSION	Die Sitzung ist abgelaufen. Bitte starte den Client erneut.
LOGIN_FAILURE_TOO_MANY_USER	Du konntest keine Verbindung herstellen, da es zu viele Spieler gibt.
LOGIN_FAILURE_UNKNOWN	Du konntest dich aus unbekannten Gründen nicht anmelden.
LOGIN_FAILURE_WEB_BLOCK	Du wurdest auf der Webseite geblockt. Bitte überprüfe deine E-Mails.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Du hast eine falsche Nr. eingegeben.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Du hast dreimal eine falsche Nr. eingegeben. Deine Verbindung wird beendet.
LOGIN_FAILURE_WRONG_PASSWORD	Accountname oder Passwort falsch.
LOGIN_INPUT_ID	Gib die ID ein.
LOGIN_INPUT_PASSWORD	Gib das Kennwort ein.
LOGIN_PROCESSING	Anmeldevorgang läuft...
MALL_CANNOT_INSERT	Du kannst den Gegenstand nicht platzieren.
MALL_PASSWORD_TITLE	Kennwort
MAP_A1	Gebiet Yongan
MAP_A2	Tal von Seungryong
MAP_A2_1	None7
MAP_A3	Gebiet Jayang
MAP_AG	Jungrang
MAP_B1	Gebiet Joan
MAP_B2	Tal von Imji
MAP_B3	Gebiet Bokjung
MAP_BATTLE_FIELD	Kampfzone
MAP_BAY	Nephritbucht
MAP_BAYBLACKSAND	Nephritbucht
MAP_BG	Waryong
MAP_C1	Gebiet Pyungmoo
MAP_C2	Tal von Bangsan
MAP_C3	Gebiet Bakra
MAP_CAPE	Kap des Drachenfeuers
MAP_CAPEDRAGONHEAD	Kap des Drachenfeuers
MAP_CG	Imha
MAP_DAWN	Gautamakliff
MAP_DAWNMISTWOOD	Gautamakliff
MAP_DAWNMIST_DUNGEON_01	Verwunschener Wald
MAP_DESERT	Yongbi-Wüste
MAP_DEVILCATACOMB	Devil's Catacomb
MAP_DEVILTOWER1	Dämonenturm
MAP_DUEL	Arena für Übungskämpfe
MAP_E	Kolonie
MAP_EMPIREWAR01	Burgschlacht
MAP_EMPIREWAR02	Burgschlacht
MAP_EMPIREWAR03	Burgschlacht
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_HOLYPLACE_DESERT	Reichsschlacht-Wüstenland
MAP_HOLYPLACE_FLAME	Reichsschlacht-Feuerland
MAP_HOLYPLACE_ICE	Reichsschlacht-Eisland
MAP_MILGYO	Hwang-Tempel
MAP_MILGYO_A	None8
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Donnerberge
MAP_MT_TH_DUNGEON_01	Tempel der Ochao
MAP_NUSLUCK	Land d. Riesen
MAP_NUSLUCK01	Land der Riesen
MAP_N_DESERT_01	Yongbi-Wüste
MAP_N_DESERT_02	None6
MAP_N_FLAME_01	Feuerland
MAP_N_FLAME_02	None5
MAP_N_FLAME_DRAGON	Meleys Hort
MAP_N_FLAME_DUNGEON_01	Rotdrachen-Festung
MAP_N_SNOWM_01	Berg Sohan
MAP_N_SNOWM_02	None4
MAP_N_SNOW_DUNGEON_01	Nemeres Warte
MAP_N_THREEWAY	Tal von Seungryong
MAP_OXEVENT	OX-Wettbewerb
MAP_PATHWAY_DESERT_01	Reichsschlacht-Wüstenland
MAP_PATHWAY_DESERT_02	Reichsschlacht-Wüstenland
MAP_PATHWAY_DESERT_03	Reichsschlacht-Wüstenland
MAP_PATHWAY_FLAME_01	Reichsschlacht-Feuerland
MAP_PATHWAY_FLAME_02	Reichsschlacht-Feuerland
MAP_PATHWAY_FLAME_03	Reichsschlacht-Feuerland
MAP_PATHWAY_ICE_01	Reichsschlacht-Eisland
MAP_PATHWAY_ICE_02	Spielplatz
MAP_PATHWAY_ICE_03	Reichsschlacht-Eisland
MAP_SKELTOWER	Gumsan-Turm
MAP_SKIPIA_DUNGEON_01	Grotte der Verbannung
MAP_SKIPIA_DUNGEON_011	None10
MAP_SKIPIA_DUNGEON_012	None12
MAP_SKIPIA_DUNGEON_013	None14
MAP_SKIPIA_DUNGEON_02	Grotte der Verbannung 2
MAP_SKIPIA_DUNGEON_021	None11
MAP_SKIPIA_DUNGEON_022	None13
MAP_SKIPIA_DUNGEON_023	None15
MAP_SKIPIA_DUNGEON_BOSS	Drachenraum
MAP_SKIPIA_DUNGEON_BOSS_1	Spinnendungeon 1
MAP_SKIPIA_DUNGEON_BOSS_2	Spinnendungeon 2
MAP_SKIPIA_DUNGEON_BOSS_3	Spinnendungeon 3
MAP_SNOW	Berg Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Spinnendungeon 1
MAP_SPIDERDUNGEON_02	Spinnendungeon 2
MAP_SPIDERDUNGEON_02_1	Spinnendungeon 2
MAP_SPIDERDUNGEON_03	Spinnendungeon 3
MAP_SUNGZI	Reichsschlacht
MAP_SUNGZI_DESERT_01	Reichsschlacht-Wüstenland
MAP_SUNGZI_DESERT_HILL_01	Reichsschlacht-Wüstenland
MAP_SUNGZI_DESERT_HILL_02	Reichsschlacht-Wüstenland
MAP_SUNGZI_DESERT_HILL_03	Reichsschlacht-Wüstenland
MAP_SUNGZI_FLAME_HILL_01	Reichsschlacht-Feuerland
MAP_SUNGZI_FLAME_HILL_02	Reichsschlacht-Feuerland
MAP_SUNGZI_FLAME_HILL_03	Reichsschlacht-Feuerland
MAP_SUNGZI_SNOW	Reichsschlacht-Eisland
MAP_SUNGZI_SNOW_PASS01	Reichsschlacht-Eisland
MAP_SUNGZI_SNOW_PASS02	Reichsschlacht-Eisland
MAP_SUNGZI_SNOW_PASS03	Reichsschlacht-Eisland
MAP_T1	Gildenkrieg-Gelände
MAP_T2	Gildenkrieg-Gelände
MAP_T3	Gildenkrieg-Gelände
MAP_T4	Gildenkrieg-Gelände
MAP_TEMPLE	Hwang-Tempel
MAP_THUNDER	Donnerberge
MAP_TREE	Lungsam
MAP_TRENT	Geisterwald
MAP_TRENT02	Roter Wald
MAP_TRENT02_A	Roter Wald
MAP_TRENT_A	None9
MAP_WEDDING_01	Hochzeitsmap
MAP_WL	Schlangenfeld
MAP_WL_01	Schlangenfeld
MC_ACCUMULATION_COUNT	Gesammelte Monsterkarten: %d
MC_ALTER_TEXT	Missionsstufe %d
MC_CARD_FALL_SHORT	Die registrierten Karten reichen nicht aus.
MC_CARD_SHUFFLE	Möchtest du die Karten neu anordnen?
MC_INIT_ITEM_FALL_SHORT	Du brauchst %d Karte(n) des Neuanfangs.
MC_MISSION_FAIL_MSG	Keine Mission aktiv oder Limit überschritten.
MC_MISSION_INIT	Möchtest du die Mission auf Stufe 1 zurücksetzen?
MC_MISSION_NO_CLEAR	Du musst zuerst die Mission abschließen.
MC_MOTION_BUTTON_OVER_MSG	Diese Option ist erst ab dem 2. Stern verfügbar.
MC_POLY_BUTTON_OVER_MSG	Diese Option ist erst ab dem 3. Stern verfügbar.
MC_POLY_FAIL	Du kannst dich jetzt nicht verwandeln.
MC_POLY_QUESTION	Möchtest du dich in dieses Monster verwandeln?
MC_PROMOTION_MAX	Eine Verbesserung ist nicht mehr möglich.
MC_PROMOTION_QUESTION	Möchtest du die Stufe erhöhen?
MC_QUESTION_BUTTON_DESC1	Das Zurücksetzen ist nur 6 Mal innerhalb von 24 Stunden möglich.
MC_QUESTION_BUTTON_DESC2	Jede weitere Zurücksetzung benötigt mehr Karten des Neuanfangs.
MC_QUESTION_BUTTON_DESC3	Klicke hier, um die restliche Abklingzeit angezeigt zubekommen.
MC_REWARD_FAIL	Du hast nicht genügend Platz im Inventar.
MC_REWARD_MISSION	Möchtest du deine Monsterkarte jetzt erhalten?
MC_SHUFFLE_NO_ITEM	Du hast keine Karte der Neuordnung.
MC_TIME	Abklingzeit: %s
MC_TRADE_QUESTION	Es werden dir %d Karten abgezogen. Möchtest du fortfahren?
MC_USE_ITEM_FAIL	Diese Karte kann nicht hinzugefügt werden.
MC_USE_ITEM_QUESTION	Möchtest du diese Monsterkarte hinzufügen?
MC_WARP_BUTTON_OVER_MSG	Diese Option ist erst ab dem 4. Stern verfügbar.
MC_WARP_FAIL	Du kannst dich nicht mehr teleportieren.
MC_WARP_LIMIT_LEVEL	Dein aktuelles Level reicht nicht aus um zu teleportieren.
MC_WARP_QUESTION	Möchtest du dich in das Gebiet dieses Monsters teleportieren?
MESSENGER_ADD_BLOCK_FRIEND	Hinzufügen
